day_position,rankic_F,rankic_E,rankic_H,F_minus_E,E_minus_H,F_minus_H,year,phase,n
2885,0.020813644809427902,0.0037884473469185793,-0.005103927115329902,0.01702519746250932,0.00889237446224848,0.025917571924757805,2018,0,2425
2890,0.14024992758104413,0.13088537150667096,0.12958299313863522,0.00936455607437317,0.0013023783680357337,0.010666934442408904,2018,1,2448
2895,0.12132200620329216,0.1062373281148811,0.11854178087225427,0.01508467808841106,-0.012304452757373172,0.002780225331037889,2018,2,2458
2900,0.12275877874949682,0.1330465320592242,0.08072609906425657,-0.01028775330972738,0.052320432994967636,0.04203267968524026,2018,3,2466
2905,0.1642040396660911,0.14821475824250127,0.11705777330913404,0.015989281423589824,0.03115698493336723,0.04714626635695705,2018,0,2488
2910,0.17520439295817017,0.1541592488410034,0.15146050034649933,0.021045144117166764,0.0026987484945040774,0.02374389261167084,2018,1,2525
2915,0.20555976965063413,0.19229983014660754,0.21285952036198635,0.013259939504026597,-0.020559690215378817,-0.007299750711352221,2018,2,2538
2920,0.10531915515062297,0.15343526290756107,0.22523223571129924,-0.0481161077569381,-0.07179697280373817,-0.11991308056067627,2019,3,2558
2925,-0.05186220213832861,-0.004918841169784818,0.06296609521492103,-0.04694336096854379,-0.06788493638470584,-0.11482829735324963,2019,0,2580
2930,-0.14935434250552176,-0.12070393312952918,-0.0719542470755002,-0.028650409375992586,-0.048749686054028976,-0.07740009543002156,2019,1,2597
2935,-0.08223125883118547,-0.12199885413835308,-0.06495997183734264,0.039767595307167614,-0.05703888230101044,-0.017271286993842824,2019,2,2602
2940,0.18611171884263342,0.19206903841906917,0.20576408055308495,-0.005957319576435749,-0.013695042134015789,-0.019652361710451538,2019,3,2622
2945,0.1180551761069745,0.11887811040423327,0.13533537471298715,-0.0008229342972587705,-0.016457264308753883,-0.017280198606012653,2019,0,2645
2950,0.08986533260622809,0.06894517031269336,0.07207347897099559,0.02092016229353473,-0.0031283086583022285,0.017791853635232502,2019,1,2654
2955,0.1252578717920032,0.11747189379893874,0.08773569848668188,0.0077859779930644635,0.029736195312256866,0.03752217330532133,2019,2,2649
2960,0.11625349205493483,0.11226560847340158,0.09304291998047896,0.00398788358153325,0.01922268849292262,0.02321057207445587,2019,3,2677
2965,0.21564128666569368,0.20133663971891297,0.19744707796581193,0.014304646946780714,0.0038895617531010396,0.018194208699881753,2019,0,2706
2970,0.20778032806550595,0.20655784534051985,0.19784002855839902,0.001222482724986096,0.00871781678212083,0.009940299507106926,2019,1,2702
2975,0.26806524898726986,0.2587965746774034,0.2535581463275298,0.009268674309866443,0.005238428349873592,0.014507102659740034,2019,2,2698
2980,0.26047649996950484,0.25613739003269675,0.23690500156461516,0.004339109936808083,0.01923238846808159,0.023571498404889674,2019,3,2725
2985,0.23250338225977327,0.23289342258522822,0.2077259399638374,-0.00039004032545494893,0.02516748262139082,0.02477744229593587,2019,0,2755
2990,0.21736543178294937,0.22854226263304983,0.18960404357466723,-0.011176830850100461,0.0389382190583826,0.02776138820828214,2019,1,2760
2995,0.17493967506566366,0.18348872351308537,0.1485255941147245,-0.008549048447421714,0.03496312939836088,0.026414080950939167,2019,2,2754
3000,0.06902882654548602,0.05983296200211239,0.025565665208287094,0.009195864543373629,0.0342672967938253,0.04346316133719892,2019,3,2775
3005,0.23371992669525632,0.245018105005822,0.21630565674130303,-0.011298178310565676,0.028712448264518964,0.017414269953953287,2019,0,2806
3010,0.18408390473913963,0.1823312002393043,0.17376847491616698,0.0017527044998353336,0.008562725323137316,0.01031542982297265,2019,1,2819
3015,0.27879260317371535,0.2782903770490776,0.2647039900006574,0.0005022261246377391,0.01358638704842019,0.014088613173057929,2019,2,2813
3020,0.20294632855828504,0.20881702127719243,0.19202742482124457,-0.005870692718907389,0.016789596455947853,0.010918903737040464,2019,3,2827
3025,0.2178278534568372,0.22500325889048986,0.20294011489306024,-0.007175405433652665,0.02206314399742962,0.014887738563776953,2019,0,2860
3030,0.2546220590310917,0.2618172360693419,0.22223925814741533,-0.007195177038250178,0.03957797792192655,0.03238280088367637,2019,1,2871
3035,0.23480770645220805,0.2468396932307209,0.20973701297363365,-0.01203198677851286,0.03710268025708727,0.025070693478574407,2019,2,2862
3040,0.1288541266931387,0.1496689151602596,0.11409828742834378,-0.020814788467120898,0.03557062773191581,0.014755839264794915,2019,3,2882
3045,0.10485541018129686,0.1092828890971384,0.0923715252037079,-0.00442747891584154,0.01691136389343051,0.012483884977588969,2019,0,2907
3050,0.06912594914203184,0.06962639888198326,0.05227998040281827,-0.0005004497399514196,0.017346418479164988,0.016845968739213568,2019,1,2920
3055,0.19597960019502814,0.19144318814035588,0.1804744508263302,0.004536412054672256,0.010968737314025673,0.01550514936869793,2019,2,2920
3060,0.15560229899813496,0.13700547668878787,0.11839383050846408,0.01859682230934709,0.018611646180323793,0.03720846848967088,2019,3,2941
3065,0.3073538417884278,0.26954756258056745,0.23494200889423306,0.03780627920786034,0.03460555368633439,0.07241183289419473,2019,0,2970
