clock,date,day_position,phase,n,k1_ic,reversal_mean10_ic,k1_spread,reversal_mean10_spread,k1_top30_excess,reversal_mean10_top30_excess
1445,2017-07-14,2560,3,1688,0.2080813296893882,0.14687073459603367,0.08074403828123607,0.06020813145455793,0.09073356599017766,0.04262410878295489
1445,2017-07-21,2565,0,1683,0.29948347067962716,0.2154323956815784,0.11215102359788684,0.10084649078210836,0.07235593504869575,0.07538601106629902
1445,2017-07-28,2570,1,1730,0.33272318169905823,0.28870714901246397,0.11423750379832054,0.11907107957939596,0.04224414952567799,0.04304835658833715
1445,2017-08-04,2575,2,1733,0.14431808822877565,0.14918198759756537,0.04379194763478049,0.054394740292434365,0.021070119321934287,0.006104218257946303
1445,2017-08-11,2580,3,1724,0.057758361406222536,0.08900211175590961,0.033047956958863894,0.0530050508749027,0.021439326592834637,0.05514055853658849
1445,2017-08-18,2585,0,1732,0.0872257121368775,0.07627484894587995,0.03708825073278283,0.052256592647798326,0.03157024913954754,0.00846106845751921
1445,2017-08-25,2590,1,1774,0.09189069778063778,0.0637747774971267,0.03384392012613115,0.033031270372461646,-0.005372151140351405,0.039473193637798915
1445,2017-09-01,2595,2,1769,0.17276199929049119,0.12204916753847689,0.09118051003836379,0.05932244798193345,0.03603836895739808,0.045644198607934255
1445,2017-09-08,2600,3,1758,0.22769472965234602,0.1472985329548166,0.10555518192114376,0.06789280565580286,0.062271467370436095,0.035546790295425054
1445,2017-09-15,2605,0,1764,0.2952406953595658,0.21174082419568058,0.11482850573586553,0.08255010410423644,0.035115992161726624,0.06373734732652274
1445,2017-09-22,2610,1,1797,0.3182142836105324,0.24905115743033757,0.10796034990565778,0.0811704767144275,0.0973097020979629,0.03473123210969378
1445,2017-09-29,2615,2,1808,0.20920234860575337,0.1702583454100745,0.07218593923025765,0.06615669397579041,0.06217286721621295,0.03206980635307695
1445,2017-10-13,2620,3,1800,0.09912141557319473,0.07512807462800657,0.02951607080629199,0.02775154332808193,0.03336595062996947,-0.018444044169775173
1445,2017-10-20,2625,0,1813,0.05699231754329547,0.04399115474385189,0.00902330636134299,0.01734054538817531,0.02742289624037024,-0.005975830916472507
1445,2017-10-27,2630,1,1832,0.12241719871735751,0.12717367267913207,0.06189271877591353,0.06093387034076935,0.03191394240899169,0.04327371369574998
1445,2017-11-03,2635,2,1832,0.13526136373039394,0.11412802700246845,0.04668010793007017,0.0395844683646386,0.03927621382701567,0.020340703233238763
1445,2017-11-10,2640,3,1814,0.06416667653576281,0.10418339455983179,0.04188159537137916,0.03738645082495615,0.008169837793260467,0.034204779131263144
1445,2017-11-17,2645,0,1820,0.09750664862151205,0.10868448192103948,0.050594704877457236,0.036249403553233854,-0.04901960506768063,0.016377667408624924
1445,2017-11-24,2650,1,1853,0.1326020293077378,0.13589114412299083,0.052402079343045374,0.052872837090871073,0.05825479457368822,0.025441758760527976
1445,2017-12-01,2655,2,1857,0.1968327453868308,0.18791579707862793,0.07294605404037882,0.06376091057931803,0.06628662272666594,0.0460206373765414
1445,2017-12-08,2660,3,1846,0.21674233973922474,0.1845600195181354,0.07258953337978986,0.05626201121808465,0.06306819718975434,0.044854329155294075
1445,2017-12-15,2665,0,1851,0.28870164630166234,0.21317570287574245,0.10253580817040309,0.0862050459463766,0.06713961194811077,0.0719524848546367
1445,2017-12-22,2670,1,1877,0.14380496236995802,0.1108045929597456,0.04650483336791465,0.035327571156326704,0.05031217757751918,0.025529453380186123
1445,2017-12-29,2675,2,1894,-0.035536853630151466,-0.023633975492553336,-0.009995481625467872,-0.015814255919337036,-0.023589936212431196,0.01585818358065605
