day_position,date,phase,predictor,n,rankic,decile_spread,top30_mean,universe_mean,top30_minus_universe,ties_present,clock
2560,2017-07-14,3,negative_mean10_epsilon,1688,0.13834815629810115,0.06045410330508665,0.04486837976922591,0.00353862640143652,0.04132975336778939,False,1430
2565,2017-07-21,0,K1,1683,0.31230238426190204,0.12404184396663845,0.08567897817119956,0.00462529272805012,0.08105368544314943,False,1430
2565,2017-07-21,0,last_epsilon,1683,-0.11067468101624894,-0.048207980913243124,-0.029989519094427427,0.00462529272805012,-0.03461481182247755,False,1430
2565,2017-07-21,0,negative_last_epsilon,1683,0.11067468101624894,0.048207980913243124,0.03605742190654079,0.00462529272805012,0.03143212917849067,False,1430
2565,2017-07-21,0,mean10_epsilon,1683,-0.21854165174242787,-0.09255751992796354,-0.02675568712875247,0.00462529272805012,-0.03138097985680259,False,1430
2565,2017-07-21,0,negative_mean10_epsilon,1683,0.21854165174242787,0.09255751992796354,0.08105517085641623,0.00462529272805012,0.0764298781283661,False,1430
2570,2017-07-28,1,K1,1730,0.3416861179991037,0.11406059582094255,0.04527211381743352,-0.002017895753558566,0.04729000957099209,True,1430
2570,2017-07-28,1,last_epsilon,1730,-0.06002871571576395,-0.0033278098111875314,-0.06602220409549772,-0.002017895753558566,-0.06400430834193915,False,1430
2570,2017-07-28,1,negative_last_epsilon,1730,0.06002871571576395,0.0033278098111875314,-0.051585012363890806,-0.002017895753558566,-0.04956711661033224,False,1430
2570,2017-07-28,1,mean10_epsilon,1730,-0.2876145674962926,-0.12106660803595916,-0.08196737104250738,-0.002017895753558566,-0.07994947528894882,False,1430
2570,2017-07-28,1,negative_mean10_epsilon,1730,0.2876145674962926,0.12106660803595916,0.041230484393114844,-0.002017895753558566,0.04324838014667341,False,1430
2575,2017-08-04,2,K1,1733,0.1671368221293908,0.05331297476817389,0.017322877142578363,-0.0019944727153954553,0.019317349857973818,True,1430
2575,2017-08-04,2,last_epsilon,1733,-0.0508130290586399,-0.00011582779354884186,0.009200733341276645,-0.0019944727153954553,0.0111952060566721,False,1430
2575,2017-08-04,2,negative_last_epsilon,1733,0.0508130290586399,0.00011582779354884186,-0.07733551249063263,-0.0019944727153954553,-0.07534103977523718,False,1430
2575,2017-08-04,2,mean10_epsilon,1733,-0.15529056322764193,-0.05981477881354849,-0.04233682441214721,-0.0019944727153954553,-0.04034235169675175,False,1430
2575,2017-08-04,2,negative_mean10_epsilon,1733,0.15529056322764193,0.05981477881354849,0.00169267983486255,-0.0019944727153954553,0.0036871525502580054,False,1430
2580,2017-08-11,3,K1,1724,0.055546235741051685,0.022336619712045515,0.0315259457177793,-0.0009291137198111089,0.03245505943759041,True,1430
2580,2017-08-11,3,last_epsilon,1724,0.03417912507415794,0.027983506558717466,0.030971832387149335,-0.0009291137198111089,0.03190094610696045,False,1430
2580,2017-08-11,3,negative_last_epsilon,1724,-0.03417912507415794,-0.027983506558717466,-0.03473814553581178,-0.0009291137198111089,-0.03380903181600067,False,1430
2580,2017-08-11,3,mean10_epsilon,1724,-0.07845164831890027,-0.0477199836164208,-0.02117281088915964,-0.0009291137198111089,-0.02024369716934853,False,1430
2580,2017-08-11,3,negative_mean10_epsilon,1724,0.07845164831890027,0.0477199836164208,0.05472821304671622,-0.0009291137198111089,0.05565732676652733,False,1430
2585,2017-08-18,0,K1,1732,0.09142777068839662,0.04183428944496477,0.022748480395724375,-0.002388226849323612,0.025136707245047987,True,1430
2585,2017-08-18,0,last_epsilon,1732,0.15476593257570326,0.052218218619001194,0.016742798499763012,-0.002388226849323612,0.019131025349086624,False,1430
2585,2017-08-18,0,negative_last_epsilon,1732,-0.15476593257570326,-0.052218218619001194,-0.060376958267685646,-0.002388226849323612,-0.057988731418362034,False,1430
2585,2017-08-18,0,mean10_epsilon,1732,-0.07283249573156687,-0.050117221393257735,-0.04854521499946714,-0.002388226849323612,-0.046156988150143526,False,1430
2585,2017-08-18,0,negative_mean10_epsilon,1732,0.07283249573156687,0.050117221393257735,0.001574879566517969,-0.002388226849323612,0.003963106415841581,False,1430
2590,2017-08-25,1,K1,1774,0.0945614937537242,0.034786015161968206,0.005252798739820719,-0.0021674267047423743,0.007420225444563094,True,1430
2590,2017-08-25,1,last_epsilon,1774,0.13231446594514523,0.043304234527717055,0.0028824595424036185,-0.0021674267047423743,0.005049886247145993,False,1430
2590,2017-08-25,1,negative_last_epsilon,1774,-0.13231446594514523,-0.043304234527717055,-0.06842374654176335,-0.0021674267047423743,-0.06625631983702097,False,1430
2590,2017-08-25,1,mean10_epsilon,1774,-0.056914614464437865,-0.03158870243630504,-0.06394871642502646,-0.0021674267047423743,-0.061781289720284085,False,1430
2590,2017-08-25,1,negative_mean10_epsilon,1774,0.056914614464437865,0.03158870243630504,0.039641907912058134,-0.0021674267047423743,0.04180933461680051,False,1430
2595,2017-09-01,2,K1,1769,0.17137156541577503,0.09146839615889554,0.04080088384604703,0.004025724113781071,0.03677515973226596,True,1430
2595,2017-09-01,2,last_epsilon,1769,0.026676469265942228,-0.004572130676603014,-0.08532341346144676,0.004025724113781071,-0.08934913757522783,False,1430
2595,2017-09-01,2,negative_last_epsilon,1769,-0.026676469265942228,0.004572130676603014,-0.049573892106612526,0.004025724113781071,-0.053599616220393595,False,1430
2595,2017-09-01,2,mean10_epsilon,1769,-0.11674863438557659,-0.06140959218671263,-0.04266613827397426,0.004025724113781071,-0.04669186238775533,False,1430
2595,2017-09-01,2,negative_mean10_epsilon,1769,0.11674863438557659,0.06140959218671263,0.04501068955287337,0.004025724113781071,0.0409849654390923,False,1430
2600,2017-09-08,3,K1,1758,0.23643244567435856,0.1138951956551838,0.06631967813397448,0.004096511930743145,0.06222316620323133,False,1430
2600,2017-09-08,3,last_epsilon,1758,-0.023952101224178138,-0.029869097577299854,-0.093303478617842,0.004096511930743145,-0.09739999054858514,False,1430
2600,2017-09-08,3,negative_last_epsilon,1758,0.023952101224178138,0.029869097577299854,0.0005396039069940646,0.004096511930743145,-0.00355690802374908,False,1430
2600,2017-09-08,3,mean10_epsilon,1758,-0.14791390621507744,-0.06904779335962043,-0.08395346496254205,0.004096511930743145,-0.0880499768932852,False,1430
