day_position,date,phase,predictor,n,rankic,decile_spread,top30_mean,universe_mean,top30_minus_universe,ties_present,clock,seed
2670,2017-12-22,1,H,1877,0.14154394271520526,0.057491869051856076,0.07451847322906056,-0.0037601079450771745,0.07827858117413773,False,1430,11
2675,2017-12-29,2,F,1894,-0.023495128712354367,-0.0010052386215652674,-0.03520566433047255,0.0008167076231318023,-0.03602237195360435,False,1430,11
2675,2017-12-29,2,H,1894,-0.02600864523569832,-0.005702269985771702,0.021232074157645307,0.0008167076231318023,0.020415366534513504,False,1430,11
2435,2017-01-06,2,F,1447,0.21809693954429707,0.05153369656020207,0.0320287920262975,0.004455716058987193,0.027573075967310307,False,1430,29
2435,2017-01-06,2,H,1447,0.1952593178405936,0.05260717620664461,0.06068033979972824,0.004455716058987193,0.056224623740741046,False,1430,29
2440,2017-01-13,3,F,1448,0.2071341113677914,0.05476650478687636,0.07216017392929644,0.0035217414472197947,0.06863843248207664,False,1430,29
2440,2017-01-13,3,H,1448,0.1629551252609454,0.052274329405817194,0.09675136553899695,0.0035217414472197947,0.09322962409177715,False,1430,29
2445,2017-01-20,0,F,1458,0.31557134879068904,0.10264454757300975,0.11369876093231142,0.004913740236775776,0.10878502069553564,False,1430,29
2445,2017-01-20,0,H,1458,0.2786366715146379,0.0927501404046027,0.12599310679361225,0.004913740236775776,0.12107936655683647,False,1430,29
2450,2017-02-03,1,F,1497,0.390527147123903,0.13573307768331766,0.14069134357074897,0.0003093954342716263,0.14038194813647734,False,1430,29
2450,2017-02-03,1,H,1497,0.3241615600205788,0.11190963993958454,0.13593532933543126,0.0003093954342716263,0.13562593390115962,False,1430,29
2455,2017-02-10,2,F,1491,0.44003582102218003,0.13313687067235125,0.11879620047790619,-0.001600661577273128,0.12039686205517931,False,1430,29
2455,2017-02-10,2,H,1491,0.31384122428943634,0.11585626818787387,0.0974755532729129,-0.001600661577273128,0.09907621485018601,False,1430,29
2460,2017-02-17,3,F,1487,0.2597509980344274,0.10587230761587774,0.09991378666212161,0.0016190537239583263,0.09829473293816328,False,1430,29
2460,2017-02-17,3,H,1487,0.1968093693878766,0.08678138378643387,0.08593085266960164,0.0016190537239583263,0.08431179894564331,False,1430,29
2465,2017-02-24,0,F,1503,0.10275994813217998,0.03416775650136211,0.07417995188540469,0.0025915259092164594,0.07158842597618822,False,1430,29
2465,2017-02-24,0,H,1503,0.04465446886208884,0.03179594568752994,0.0544169852277264,0.0025915259092164594,0.051825459318509945,False,1430,29
2470,2017-03-03,1,F,1551,0.08523609321640865,0.025763474664868665,0.021497542552727584,0.004463361834911193,0.017034180717816393,False,1430,29
2470,2017-03-03,1,H,1551,0.02976628357173044,0.016260925828546827,0.011242973940291752,0.004463361834911193,0.006779612105380559,False,1430,29
2475,2017-03-10,2,F,1536,0.0646793950894229,0.05922652689774872,0.007464442254664997,0.008248986970533187,-0.0007845447158681892,False,1430,29
2475,2017-03-10,2,H,1536,0.1370790453292191,0.05796387513673003,0.01919103356388708,0.008248986970533187,0.010942046593353892,False,1430,29
2480,2017-03-17,3,F,1541,0.11401284197209831,0.06147959203475953,-0.031659427611157295,0.0010412039608635839,-0.032700631572020876,False,1430,29
2480,2017-03-17,3,H,1541,0.144073774557795,0.06848817747486936,0.04971675273263827,0.0010412039608635839,0.04867554877177469,False,1430,29
2485,2017-03-24,0,F,1554,0.0069154611923197985,0.024440854058165342,-0.011820269236341118,-0.0002858877961681411,-0.011534381440172978,False,1430,29
2485,2017-03-24,0,H,1554,0.07078004943809744,0.038953661377121127,0.001639383565634489,-0.0002858877961681411,0.00192527136180263,False,1430,29
2490,2017-03-31,1,F,1592,0.04050471183336931,0.04350690775255836,0.017106702962579826,-0.004269191239425014,0.02137589420200484,False,1430,29
2490,2017-03-31,1,H,1592,-0.008849958338235356,0.02200021470952545,-0.018203806093273062,-0.004269191239425014,-0.01393461485384805,False,1430,29
2495,2017-04-11,2,F,1579,0.21796447714950548,0.08284419340639121,0.035129032315065464,-0.006571227050816162,0.04170025936588163,False,1430,29
2495,2017-04-11,2,H,1579,0.16476000783128344,0.05836115630824048,-0.003397852376413842,-0.006571227050816162,0.0031733746744023197,False,1430,29
2500,2017-04-18,3,F,1576,0.06579467444220606,-0.007742505508810904,0.05696356194093823,-0.00808502858753716,0.06504859052847539,False,1430,29
2500,2017-04-18,3,H,1576,0.015522663916227484,-0.0222373757650223,0.009104724719266717,-0.00808502858753716,0.017189753306803876,False,1430,29
2505,2017-04-25,0,F,1589,-0.036421674737406956,-0.006454616290652722,0.011698374699335545,-0.0008771055887712317,0.012575480288106776,False,1430,29
2505,2017-04-25,0,H,1589,-0.09775901878046904,-0.03366318686137306,-0.018994077415360758,-0.0008771055887712317,-0.018116971826589525,False,1430,29
2510,2017-05-03,1,F,1628,0.1114033066071696,0.07678797397896647,0.09865822543664156,-0.0012744605551680615,0.09993268599180961,False,1430,29
2510,2017-05-03,1,H,1628,0.0613199632680968,0.06261881774020209,0.04693219165007274,-0.0012744605551680615,0.0482066522052408,False,1430,29
2515,2017-05-10,2,F,1613,0.047556205821245236,0.07548047329269506,0.028291865199571477,-0.002195397383868013,0.03048726258343949,False,1430,29
2515,2017-05-10,2,H,1613,0.1261905555326389,0.10715584100263124,0.0420926512645868,-0.002195397383868013,0.044288048648454814,False,1430,29
2520,2017-05-17,3,F,1608,0.06266177719446431,0.08052426318295147,0.020873105991631745,0.002641776036640731,0.018231329954991014,False,1430,29
2520,2017-05-17,3,H,1608,0.22166201709944527,0.1171570486519812,0.0546452345016102,0.002641776036640731,0.05200345846496947,False,1430,29
2525,2017-05-24,0,F,1614,0.040289436512985624,0.03615710514497087,0.009045435162261129,0.0029583136981513746,0.006087121464109755,False,1430,29
2525,2017-05-24,0,H,1614,0.16565195014145365,0.07080270729052274,0.03345031364200016,0.0029583136981513746,0.030491999943848783,False,1430,29
2530,2017-06-02,1,F,1660,0.14402253966018286,0.04937757494014686,0.02507466206540509,0.005910958056718147,0.019163704008686944,False,1430,29
2530,2017-06-02,1,H,1660,0.18309538340726889,0.06869236810028718,0.04397551369232436,0.005910958056718147,0.03806455563560621,False,1430,29
2535,2017-06-09,2,F,1656,0.0991495320170796,0.048133351916145664,-0.00409172895985345,0.008227767398318025,-0.012319496358171474,False,1430,29
2535,2017-06-09,2,H,1656,0.13038682548720845,0.06215536498246806,0.03115026755258441,0.008227767398318025,0.022922500154266386,False,1430,29
2540,2017-06-16,3,F,1641,0.15285434127680295,0.0728846415430137,0.03576536198379472,0.004699054028169307,0.031066307955625413,False,1430,29
2540,2017-06-16,3,H,1641,0.14511696549427355,0.07366616136810412,0.05395130893836419,0.004699054028169307,0.04925225491019488,False,1430,29
2545,2017-06-23,0,F,1641,0.15993166243468387,0.09000647783445524,0.03799117086455226,0.003616289670472541,0.03437488119407972,False,1430,29
2545,2017-06-23,0,H,1641,0.18290273159630593,0.10770505754053153,0.03546617309718082,0.003616289670472541,0.03184988342670828,False,1430,29
2550,2017-06-30,1,F,1682,0.17488228158929178,0.06889527943297123,0.032425486758196106,0.0032675739755678055,0.0291579127826283,False,1430,29
2550,2017-06-30,1,H,1682,0.171629357375301,0.07608900353945847,0.04142564240222176,0.0032675739755678055,0.03815806842665396,False,1430,29
2555,2017-07-07,2,F,1680,0.16274610459298733,0.05908461371291196,0.07021283875219524,0.0032621493507251995,0.06695068940147003,False,1430,29
2555,2017-07-07,2,H,1680,0.15033319678958018,0.05528805451155806,0.07705658172878126,0.0032621493507251995,0.07379443237805605,False,1430,29
2560,2017-07-14,3,F,1688,0.22712510213941012,0.08883100098938441,0.08931826812525591,0.00353862640143652,0.08577964172381938,False,1430,29
