decision_id,decision_date,year,decision_clock,replay_segment_id,eligible_count,selected_count,oracle_count,selected_oracle_overlap_count,selected_oracle_overlap_share,selected_mean_h20_return,oracle_mean_h20_return,selection_gap_mean_h20_return,selected_median_opportunity_rank
14:30:20150113,2015-01-13,2015,14:30,2011_2020,1228,30,30,1,0.033333333333333333,0.078017640726215878,0.3899781028661472,-0.31196046213993134,354
14:45:20150113,2015-01-13,2015,14:45,2011_2020,1228,30,30,2,0.066666666666666666,0.096879513077551341,0.38652131940214823,-0.28964180632459691,258
14:30:20150120,2015-01-20,2015,14:30,2011_2020,1218,30,30,0,0,0.1109844060747298,0.46240118567964122,-0.35141677960491141,369.5
14:45:20150120,2015-01-20,2015,14:45,2011_2020,1214,30,30,0,0,0.095584468082070079,0.45696618515994114,-0.36138171707787103,493
14:30:20150127,2015-01-27,2015,14:30,2011_2020,1195,30,30,0,0,0.084550865991804558,0.48923380509831293,-0.40468293910650838,458.5
14:45:20150127,2015-01-27,2015,14:45,2011_2020,1193,30,30,0,0,0.079860266446114575,0.47756317331663273,-0.39770290687051812,445
14:30:20150203,2015-02-03,2015,14:30,2011_2020,1199,30,30,0,0,0.13569792347480505,0.50412981794497425,-0.36843189447016922,489
14:45:20150203,2015-02-03,2015,14:45,2011_2020,1201,30,30,0,0,0.12191939177328621,0.50858763488824466,-0.38666824311495845,552
14:30:20150210,2015-02-10,2015,14:30,2011_2020,1189,30,30,3,0.10000000000000001,0.25638793950314104,0.68051158073212459,-0.42412364122898355,463
14:45:20150210,2015-02-10,2015,14:45,2011_2020,1186,30,30,2,0.066666666666666666,0.25918861359310169,0.69067714871940378,-0.43148853512630209,408.5
14:30:20150217,2015-02-17,2015,14:30,2011_2020,1168,30,30,2,0.066666666666666666,0.28071195986526759,0.73915804753090097,-0.45844608766563338,443.5
14:45:20150217,2015-02-17,2015,14:45,2011_2020,1169,30,30,1,0.033333333333333333,0.25557399438841166,0.73586091568099665,-0.48028692129258499,406
14:30:20150303,2015-03-03,2015,14:30,2011_2020,1163,30,30,0,0,0.20204244756112805,0.70075334018278213,-0.49871089262165408,600
14:45:20150303,2015-03-03,2015,14:45,2011_2020,1160,30,30,1,0.033333333333333333,0.20319355258131538,0.70947060394349415,-0.50627705136217882,681.5
14:30:20150310,2015-03-10,2015,14:30,2011_2020,1153,30,30,0,0,0.22390420736273781,0.77760543070115218,-0.55370122333841443,747
14:45:20150310,2015-03-10,2015,14:45,2011_2020,1153,30,30,0,0,0.23103033266188783,0.79807768688040537,-0.56704735421851749,725.5
14:30:20150317,2015-03-17,2015,14:30,2011_2020,1124,30,30,1,0.033333333333333333,0.24818435625361515,0.76366893569886829,-0.51548457944525317,492
14:45:20150317,2015-03-17,2015,14:45,2011_2020,1120,30,30,2,0.066666666666666666,0.22496948472946135,0.73387688051933531,-0.50890739578987398,549.5
14:30:20150324,2015-03-24,2015,14:30,2011_2020,1109,30,30,1,0.033333333333333333,0.18449199099772134,0.6385624863953121,-0.45407049539759076,570.5
14:45:20150324,2015-03-24,2015,14:45,2011_2020,1109,30,30,1,0.033333333333333333,0.18448468919992139,0.64672897078266522,-0.46224428158274383,579.5
14:30:20150331,2015-03-31,2015,14:30,2011_2020,1090,30,30,3,0.10000000000000001,0.19305822247156754,0.69270305808578159,-0.49964483561421402,520
14:45:20150331,2015-03-31,2015,14:45,2011_2020,1088,30,30,2,0.066666666666666666,0.17601387879074806,0.68171974324270579,-0.50570586445195775,584
14:30:20150408,2015-04-08,2015,14:30,2011_2020,1096,30,30,0,0,0.045038128415761595,0.48002047455570079,-0.43498234613993919,385.5
14:45:20150408,2015-04-08,2015,14:45,2011_2020,1095,30,30,0,0,0.026474513788716326,0.46132854981757238,-0.43485403602885603,424
14:30:20150415,2015-04-15,2015,14:30,2011_2020,1077,30,30,2,0.066666666666666666,0.18309579161381301,0.66510992224356669,-0.48201413062975368,402.5
14:45:20150415,2015-04-15,2015,14:45,2011_2020,1078,30,30,2,0.066666666666666666,0.21187376071964181,0.68119573487289709,-0.46932197415325527,378.5
14:30:20150422,2015-04-22,2015,14:30,2011_2020,1041,30,30,0,0,0.19588760263154947,0.87141404561264535,-0.67552644298109588,348.5
14:45:20150422,2015-04-22,2015,14:45,2011_2020,1038,30,30,0,0,0.19588823984990647,0.87960075527144888,-0.68371251542154243,363
14:30:20150429,2015-04-29,2015,14:30,2011_2020,1000,30,30,1,0.033333333333333333,0.29573737177744408,0.90610540340616241,-0.61036803162871833,320.5
14:45:20150429,2015-04-29,2015,14:45,2011_2020,999,30,30,1,0.033333333333333333,0.29609195448377801,0.90564221501920394,-0.60955026053542594,313.5
